quote,author,book,link
"Power comes in response to a need, not a desire. You have to create that need.",Goku,Dragon Ball Z,https://myanimelist.net/anime/813/Dragon_Ball_Z
"Forgetting is like a wound. The wound may heal, but it has already left a scar.",Monkey D. Luffy,One Piece,https://myanimelist.net/anime/21/One_Piece
A lesson without pain is meaningless. That’s because you can’t gain something without sacrificing something else.,Edward Elric,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
"A person grows up when he's able to overcome hardships. Protection is important, but there are some things a person must learn on his own.",Jiraiya,Naruto,https://myanimelist.net/anime/20/Naruto
Hard work is worthless for those that don’t believe in themselves.,Naruto Uzumaki,Naruto Shippuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden
"Fear is not evil. It tells you what your weakness is. And once you know your weakness, you can become stronger as well as kinder.",Gildarts Clive,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail
"Power is not determined by your size, but the size of your heart and dreams.",Monkey D. Luffy,One Piece,https://myanimelist.net/anime/21/One_Piece
A person becomes strong when they have someone they want to protect.,Haku,Naruto,https://myanimelist.net/anime/20/Naruto
"The world isn't perfect. But it's there for us, doing the best it can... that's what makes it so damn beautiful.",Roy Mustang,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
"The world is not beautiful, therefore it is.",Kino,Kino no Tabi: The Beautiful World,https://myanimelist.net/anime/590/Kino_no_Tabi__The_Beautiful_World
